model,regime,start_date,end_date,market_return_pct,portfolio_return_pct,final_value,sharpe_ratio,max_drawdown_pct,volatility_pct,total_trades,win_rate_pct,hold_pct,buy_pct,sell_pct,alpha,success
best_model.pth,bear,2022-01-01,2022-12-31,-65.18411471200764,-34.012664221059005,65987.335778941,-1.3520933570780047,-36.4597897631972,27.17571857132377,142,0.0,2.5735294117647056,97.05882352941177,0.3676470588235294,31.171450490948637,True
best_model.pth,bull,2023-01-01,2023-06-30,83.12905212745099,9.448118764647312,109448.11876464731,0.9068461879625109,-11.578326392645657,19.275380301198968,68,0.0,6.2015503875969,93.7984496124031,0.0,-73.68093336280367,True
best_model.pth,bull,2024-01-01,2024-06-30,37.856139608274184,-1.9325455179854178,98067.45448201458,-0.4159620157582501,-5.915889046794505,12.146772441490688,35,0.0,16.153846153846153,83.84615384615385,0.0,-39.7886851262596,True
best_model.pth,bear,2022-01-01,2022-12-31,-65.18411471200764,-16.943700741262568,83056.29925873743,-0.8387433345320039,-20.527862119483313,20.372100568985914,128,41.66666666666667,16.176470588235293,65.07352941176471,18.75,48.240413970745074,True
best_model.pth,bull,2023-01-01,2023-06-30,83.12905212745099,4.873818044603075,104873.81804460307,0.5481044320931437,-9.079840817962019,15.469163258554289,79,0.0,22.48062015503876,75.1937984496124,2.3255813953488373,-78.25523408284792,True
best_model.pth,bull,2024-01-01,2024-06-30,37.856139608274184,-1.4754753248834604,98524.52467511654,-0.46169918049350694,-6.328571665019952,9.581016578871706,61,20.0,35.38461538461539,46.92307692307692,17.692307692307693,-39.331614933157645,True
best_model.pth,bear,2022-01-01,2022-12-31,-65.18411471200764,-1.1318236623434497,98868.17633765655,-2.2541996822600034,-1.6997605338723996,1.3510137989172972,129,53.125,0.0,35.661764705882355,64.33823529411765,64.05229104966419,True
best_model.pth,bull,2023-01-01,2023-06-30,83.12905212745099,1.5415466442735632,101541.54664427356,0.5735914133510157,-0.5766875104423257,1.7498889275132514,43,77.77777777777779,0.0,26.356589147286826,73.64341085271317,-81.58750548317742,True
best_model.pth,bull,2024-01-01,2024-06-30,37.856139608274184,-0.3263815734002565,99673.61842659974,-2.302921993749469,-0.9505311847231255,1.1408289942535714,47,55.55555555555556,0.0,29.230769230769234,70.76923076923077,-38.18252118167444,True
best_model.pth,bear,2022-01-01,2022-12-31,-65.18411471200764,-33.410908079489424,66589.09192051057,-1.1712364110184272,-35.89970067102118,29.983970761951117,93,0.0,33.455882352941174,66.54411764705883,0.0,31.773206632518217,True
best_model.pth,bull,2023-01-01,2023-06-30,83.12905212745099,9.724445131600369,109724.44513160037,0.9193401673223728,-11.678028709029075,19.622192105589217,68,0.0,20.930232558139537,79.06976744186046,0.0,-73.40460699585063,True
best_model.pth,bull,2024-01-01,2024-06-30,37.856139608274184,-0.4853873243113339,99514.61267568867,-0.16695672825370655,-6.5721172906359575,12.773696555018017,71,100.0,11.538461538461538,85.38461538461539,3.076923076923077,-38.341526932585516,True
