Date,open,high,low,close,volume,regime_primary,regime_volatility,regime_strength,regime_confidence,returns_1d,returns_30d,volatility,rsi,adx,price_vs_sma_50,ma_alignment
2017-01-01 00:00:00+00:00,963.6580200195312,1003.0800170898438,958.698974609375,998.3250122070312,147775008,SIDEWAYS,HIGH,WEAK,0.7555555555555555,,,,,,,0
2017-01-02 00:00:00+00:00,998.6170043945312,1031.3900146484375,996.7020263671875,1021.75,222184992,SIDEWAYS,HIGH,WEAK,0.7555555555555555,0.02346429019261209,,,,,,0
2017-01-03 00:00:00+00:00,1021.5999755859375,1044.0799560546875,1021.5999755859375,1043.8399658203125,185168000,SIDEWAYS,HIGH,WEAK,0.7555555555555555,0.02161973655034255,,,,,,0
2017-01-04 00:00:00+00:00,1044.4000244140625,1159.4200439453125,1044.4000244140625,1154.72998046875,344945984,SIDEWAYS,HIGH,WEAK,0.7555555555555555,0.10623277348965399,,,,,,0
2017-01-05 00:00:00+00:00,1156.72998046875,1191.0999755859375,910.4169921875,1013.3800048828125,510199008,SIDEWAYS,HIGH,WEAK,0.7555555555555555,-0.12240954853233998,,,,,,0
2017-01-06 00:00:00+00:00,1014.239990234375,1046.81005859375,883.9439697265625,902.2009887695312,351876000,SIDEWAYS,HIGH,WEAK,0.7555555555555555,-0.10971108130965934,,,,,,0
2017-01-07 00:00:00+00:00,903.4869995117188,908.5850219726562,823.5560302734375,908.5850219726562,279550016,SIDEWAYS,HIGH,WEAK,0.7555555555555555,0.00707606540293404,,,,,,0
2017-01-08 00:00:00+00:00,908.1749877929688,942.7239990234375,887.2490234375,911.198974609375,158715008,SIDEWAYS,HIGH,WEAK,0.7555555555555555,0.002876948852891692,,,,,,0
2017-01-09 00:00:00+00:00,913.2440185546875,913.6859741210938,879.8070068359375,902.8280029296875,141876992,SIDEWAYS,HIGH,WEAK,0.7555555555555555,-0.009186765912764683,,,,,,0
2017-01-10 00:00:00+00:00,902.4400024414062,914.8729858398438,901.0599975585938,907.6790161132812,115808000,SIDEWAYS,HIGH,WEAK,0.7555555555555555,0.005373131059129843,,,,,,0
2017-01-11 00:00:00+00:00,908.114990234375,919.447998046875,762.7650146484375,777.7570190429688,310928992,SIDEWAYS,EXTREME,WEAK,0.7555555555555555,-0.14313649953773722,,,,,,0
2017-01-12 00:00:00+00:00,775.177978515625,826.2459716796875,755.7559814453125,804.833984375,222326000,SIDEWAYS,HIGH,WEAK,0.7555555555555555,0.03481417032449219,,,,,,0
2017-01-13 00:00:00+00:00,803.7369995117188,829.0009765625,780.0029907226562,823.9840087890625,168968000,SIDEWAYS,HIGH,WEAK,0.7555555555555555,0.023793757204392474,,,,,,0
2017-01-14 00:00:00+00:00,825.1420288085938,835.0850219726562,812.4559936523438,818.4119873046875,93063296,SIDEWAYS,HIGH,WEAK,0.7550035893935325,-0.00676229323013644,,,35.32220739795464,,,0
2017-01-15 00:00:00+00:00,818.1420288085938,823.3070068359375,812.8709716796875,821.7979736328125,71013600,SIDEWAYS,HIGH,WEAK,0.7448971318701417,0.004137263848341455,,,35.67757330303732,,,0
2017-01-16 00:00:00+00:00,821.7830200195312,834.530029296875,820.27099609375,831.5339965820312,82755200,SIDEWAYS,HIGH,WEAK,0.7352696153984893,0.011847221898321436,,,34.216324696210364,,,0
2017-01-17 00:00:00+00:00,830.9459838867188,910.5609741210938,830.7960205078125,907.93798828125,155095008,SIDEWAYS,HIGH,WEAK,0.7239485877047004,0.09188318458808964,,,39.65558861296994,,,0
