step,date_main,price_main,action_main,action_name_main,prob_hold_main,prob_buy_main,prob_sell_main,confidence_main,value_estimate_main,portfolio_value_main,cash_main,position_value_main,position_quantity_main,rsi_14_main,macd_main,sma_20_main,sma_50_main,bb_position_main,date_other,price_other,action_other,action_name_other,prob_hold_other,prob_buy_other,prob_sell_other,confidence_other,value_estimate_other,portfolio_value_other,cash_other,position_value_other,position_quantity_other,rsi_14_other,macd_other,sma_20_other,sma_50_other,bb_position_other,disagreement,price_change_next_5d,main_was_right
10,2024-08-30,59119.4765625,1,BUY,0.3134742,0.46576592,0.22075981,0.46576592,0.14230674505233765,99673.85516698539,89993.08152241366,9680.773644571724,0.1630084251699893,50.70815722992998,-242.96318082920334,60221.4146484375,62057.573046875,0.3650627658451137,2024-08-30,59119.4765625,1,BUY,0.31032467,0.34706903,0.34260628,0.34706903,-0.03788989409804344,100033.60588676258,99033.25982443434,1000.346062328249,0.016844194713359795,50.70815722992998,-242.96318082920334,60221.4146484375,62057.573046875,0.3650627658451137,False,-0.019417247356485312,False
11,2024-08-31,58969.8984375,1,BUY,0.34037402,0.45056042,0.20906559,0.45056042,0.2316390573978424,99629.05799319794,88995.78467893331,10633.273314264627,0.17986074864893856,48.35540753330186,-347.4692775108924,60233.9353515625,62078.98171875,0.34453166651148354,2024-08-31,58969.8984375,2,SELL,0.32130122,0.3327852,0.34591365,0.34591365,0.09785537421703339,100028.07950820701,98031.9687356463,1996.110772560711,0.033764012955196925,48.35540753330186,-347.4692775108924,60233.9353515625,62078.98171875,0.34453166651148354,True,-0.04764142775703761,False
12,2024-09-01,57325.48828125,1,BUY,0.3031677,0.48752615,0.20930617,0.48752615,0.1333279311656952,99601.15873810633,87998.76710978917,11602.391628317162,0.19675108717736906,46.40818483805161,-556.565527802697,60132.483984375,62040.852421875,0.17011662122793464,2024-09-01,57325.48828125,1,BUY,0.29521823,0.35619518,0.34858656,0.35619518,-0.050940532237291336,100021.03809004188,100021.03809004188,0.0,0.0,46.40818483805161,-556.565527802697,60132.483984375,62040.852421875,0.17011662122793464,False,-0.05890458984724356,False
13,2024-09-02,59112.48046875,1,BUY,0.3135339,0.44576505,0.2407011,0.44576505,0.2128569781780243,99276.62647590612,87004.99814107566,12271.628334830453,0.214069320694199,48.8731367512776,-571.4926658911136,60057.6296875,62007.346171875,0.3893741843341667,2024-09-02,59112.48046875,1,BUY,0.30910352,0.34570286,0.3451936,0.34570286,0.1207127720117569,100020.03787966099,99019.82749876057,1000.210380900419,0.017447917338151438,48.8731367512776,-571.4926658911136,60057.6296875,62007.346171875,0.3893741843341667,False,-0.08412424803217122,False
14,2024-09-03,57431.0234375,1,BUY,0.32854646,0.47175375,0.19969974,0.47175375,0.09109456092119217,99658.17008790329,86007.40988261317,13650.76020529012,0.2309285635967626,45.63165783468278,-710.8083045969543,59992.3173828125,61858.56359375,0.20861239289897654,2024-09-03,57431.0234375,1,BUY,0.30853072,0.36447325,0.326996,0.36447325,-0.1690872609615326,100050.2166594607,98018.31481487253,2031.9018445881654,0.03437348303565669,45.63165783468278,-710.8083045969543,59992.3173828125,61858.56359375,0.20861239289897654,False,-0.04508812269501006,False
15,2024-09-04,57971.5390625,1,BUY,0.3158682,0.45094332,0.23318855,0.45094332,0.17276525497436523,99268.88093219075,85013.71844756759,14255.162484623153,0.24821362447313,40.28197078577714,-768.740298687313,60012.889453125,61716.05140625,0.2653990952425721,2024-09-04,57971.5390625,1,BUY,0.30090386,0.35942072,0.33967543,0.35942072,-0.10644862055778503,99991.4192005306,97017.39069943407,2974.0285010965263,0.05178435491982915,40.28197078577714,-768.740298687313,60012.889453125,61716.05140625,0.2653990952425721,False,-0.016421918783691924,False
16,2024-09-05,56160.48828125,1,BUY,0.32630607,0.46776754,0.2059264,0.46776754,0.15231817960739136,99402.0502441136,84018.69397437928,15383.356269734324,0.26536049445141163,37.93934074921091,-949.8393273343318,59876.20859375,61556.8853125,0.10127285012752552,2024-09-05,56160.48828125,1,BUY,0.29686514,0.36510357,0.33803132,0.36510357,-0.28794044256210327,100018.40925940077,96016.19641080458,4002.2128485961925,0.06903754692938799,37.93934074921091,-949.8393273343318,59876.20859375,61556.8853125,0.10127285012752552,False,0.026499460773863337,True
17,2024-09-06,53948.75390625,1,BUY,0.2466684,0.48215795,0.2711737,0.48215795,0.30583521723747253,98920.47969863536,83028.4900705569,15891.989628078454,0.28297456297907986,18.29519636838242,-1257.3363018887248,59599.69765625,61356.3790625,-0.02693156829917355,2024-09-06,53948.75390625,1,BUY,0.28669202,0.38668185,0.32662615,0.38668185,-0.4074198007583618,99892.37982231115,95016.26368945603,4876.116132855129,0.08682467482183717,18.29519636838242,-1257.3363018887248,59599.69765625,61356.3790625,-0.02693156829917355,False,0.06291930254123534,True
18,2024-09-07,54139.6875,1,BUY,0.3071598,0.49304196,0.19979818,0.49304196,0.3623638451099396,98293.63218429263,82044.56097310116,16249.071211191458,0.3011945602938012,18.834420909004038,-1468.6929462474145,59382.4837890625,61104.9696875,0.05414127912774664,2024-09-07,54139.6875,2,SELL,0.29649302,0.33375883,0.36974818,0.36974818,-0.11853054165840149,99699.34970094246,94018.26321894489,5681.086481997569,0.10530524007783267,18.834420909004038,-1468.6929462474145,59382.4837890625,61104.9696875,0.05414127912774664,True,0.07364882220182745,True
19,2024-09-08,54841.56640625,1,BUY,0.29117668,0.5086949,0.20012847,0.5086949,0.3649044930934906,98350.15683270403,81060.06605825665,17290.090774447377,0.3193607420517043,21.50194424389811,-1561.558177126768,59149.889453125,60858.528046875,0.1536271565577273,2024-09-08,54841.56640625,1,BUY,0.30267778,0.3563278,0.3409944,0.3563278,0.036389317363500595,99713.7548160813,99713.7548160813,0.0,0.0,21.50194424389811,-1561.558177126768,59149.889453125,60858.528046875,0.1536271565577273,False,0.10447794894397866,True
20,2024-09-09,57019.53515625,1,BUY,0.31235367,0.4583143,0.229332,0.4583143,0.2661591172218323,98573.32365794046,80073.3372211523,18499.986436788164,0.33733512095088186,33.13715335843574,-1442.7792049994605,59050.2265625,60635.82828125,0.33862674344720095,2024-09-09,57019.53515625,2,SELL,0.2995162,0.34343514,0.35704866,0.35704866,0.11524488031864166,99712.75767853313,98715.62013037232,997.1375481608129,0.018182149298477633,33.13715335843574,-1442.7792049994605,59050.2265625,60635.82828125,0.33862674344720095,True,0.05236075547299057,True
21,2024-09-10,57648.7109375,1,BUY,0.3185982,0.4561412,0.22526059,0.4561412,0.2037094533443451,99307.03592935886,79079.26385076571,20227.772078593145,0.35475161316491277,43.65947842486252,-1283.0861678769288,58873.9025390625,60437.0975,0.40180552854490337,2024-09-10,57648.7109375,2,SELL,0.29323715,0.34284535,0.3639174,0.3639174,0.1847648173570633,99751.32109381192,99751.32109381192,0.0,0.0,43.65947842486252,-1283.0861678769288,58873.9025390625,60437.0975,0.40180552854490337,True,0.02661160978366417,True
22,2024-09-11,57343.171875,1,BUY,0.32838622,0.45183823,0.21977553,0.45183823,0.1490597128868103,99529.24175035107,78082.96617786797,21446.275572483093,0.3720165676511679,44.17567153607648,-1167.7219623777637,58721.9654296875,60265.4075,0.38937737090024394,2024-09-11,57343.171875,2,SELL,0.28800777,0.35008729,0.36190495,0.36190495,0.11614437401294708,99751.32109381192,99751.32109381192,0.0,0.0,44.17567153607648,-1167.7219623777637,58721.9654296875,60265.4075,0.38937737090024394,True,0.014811457227225544,True
23,2024-09-12,58127.01171875,1,BUY,0.32744026,0.44003126,0.2325285,0.44003126,0.16426104307174683,99414.58200127489,77087.81626053604,22326.76574073885,0.38935351866143786,45.76327991334945,-1001.5009937544673,58423.5982421875,60120.505078125,0.4739719356386459,2024-09-12,58127.01171875,2,SELL,0.29551673,0.33924642,0.36523685,0.36523685,0.21064208447933197,99751.32109381192,99751.32109381192,0.0,0.0,45.76327991334945,-1001.5009937544673,58423.5982421875,60120.505078125,0.4739719356386459,True,0.03753035429217344,True
